Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,Phone Index,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ,VOT,VOT_Type
F03B_man_isolated.csv,tsʰ,27.13211,27.28211,n,aj˥˩,False,"Interval(26.90211, 27.41211, 饭菜)",11.6279069767442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,predPOS
F03B_man_isolated.csv,pʲ,27.67211,27.72211,ŋ,i˥,True,"Interval(27.67211, 28.21211, 冰箱)",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,predPOS
F03B_man_isolated.csv,tɕʰ,29.65651,29.82651,n,i˥,True,"Interval(29.65651, 30.17651, 期间)",12.6126126126126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,predPOS
F03B_man_isolated.csv,tɕ,29.88651,29.98651,i˥,e˥,False,"Interval(29.65651, 30.17651, 期间)",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,predPOS
F03B_man_isolated.csv,p,30.17651,30.23651,n,j,True,"Interval(30.17651, 30.36651, 别)",9.33333333333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,predPOS
F03B_man_isolated.csv,tɕ,30.36651,30.46651,e˧˥,a˨˩˦,True,"Interval(30.36651, 31.05651, 讲话)",8.95522388059702,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,predPOS
F03B_man_isolated.csv,ʈʂ,32.17655,32.24655,n,u˥˩,True,"Interval(32.17655, 32.37655, 中)",12.6050420168067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,predPOS
F03B_man_isolated.csv,t,32.78655,32.83655,n,w,True,"Interval(32.78655, 32.97655, 多)",12.8205128205129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,predPOS
F03B_man_isolated.csv,tɕ,34.19485,34.28485,ej˥˩,aw˥˩,False,"Interval(33.98485, 34.41485, 睡觉)",8.84955752212393,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00499999999999998,predPOS
F03B_man_isolated.csv,tɕʰ,34.41485,34.58485,aw˥˩,e˧˥,True,"Interval(34.41485, 34.75485, 前)",12.7118644067797,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,predPOS
F03B_man_isolated.csv,tɕ,34.75485,34.86485,n,i˥˩,True,"Interval(34.75485, 35.09485, 记得)",12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,predNEG
